text,label
de hecho porque es un png,neutral
de las mejores páginas,positive
de nd,positive
de twitch,unknown
DEAAAA,unknown
decepcionante,negative
Dejalo ya esta muerto,negative
deje de sudar que lo está haciendo bien,positive
Dejo el enlace por si a alguno que no lo conozca le interesa,unknown
Del p,unknown
deprecated,negative
desagradable,negative
desesperandomeeeeeeeeeee volveraaaaaaaaaaaaa,unknown
DesignJuanM alaaaaa JAJAJA,unknown
DESTINOO,unknown
detestable,negative
dijeron comando cual necesitan,unknown
display flex flex direction column y chimpun D:,neutral
divertido,positive
divide la pantalla,neutral
doble parentesis tiene xdd,negative
dx,unknown
easy peasy,neutral
ecuador no?,unknown
Editor*,neutral
eheheheeh,unknown
ejejeje,unknown
el ancho del browser,unknown
el clamp termina en doble parentesis quítalo,negative
el color de la fuente no tiene buen contraste,negative
el color no es legible,negative
el máximo dejalo en píxeles de última,neutral
el maximo no lo pilla al parecer,unknown
El mio lo coloque el dia de hoy ya no lo revisas,unknown
el tema de Vue tambien se ve bueno,positive
en el discord esta,unknown
En el extend,unknown
en espñoh?,neutral
en momentos noto que no hace zoom,negative
en qué momento aquí son las 2 de la mañana,unknown
En vez de eso tiene que usar fetch,negative
encima me la creo porque puede ser verdad 😭,unknown
EPA A DONDE TAN LINDOO,unknown
épico,positive
es algo mediocre,neutral
Es bastante confuso,negative
es cuestionable,neutral
Es dark mode first?,unknown
es dentro del extend creo,unknown
Es focus,neutral
Es la beta jajaja,neutral
es mala práctica sacar el outline pero outline-transparent te sirve,neutral
es mas facil,neutral
es mejor a la inversa,neutral
Es muy claro,positive
Es muy complejo,negative
Es muy fácil de usar,positive
Es muy funcional,positive
Es muy innovador,positive
es muy rápida!,positive
es normal,neutral
Es normal,neutral
es preciosa,positive
es que hace mucho frio,unknown
es que lo preguntaron por el chat por si acaso jejeje <3,neutral
Es tailwind en si es chapuza,unknown
es un cohete literalmente,positive
es un desastre,negative
es un éxito,positive
es un fracaso,negative
Es un objeto de arrays,unknown
es una belleza,positive
Es una Copia,negative
es una desgracia,negative
es una genialidad,positive
es una locura,negative
es una maravilla,positive
es una monstruosidad,negative
es una obra maestra,positive
Es una planta Midu,unknown
es una tontería,negative
ese man ya esta muerto solo no le han visado jajaja,negative
Eso con CSS no pasa,unknown
eso es supertrampa,negative
eso es una guarreria creo,negative
eso no es complicado con scraping no?,neutral
espeluznante,positive
esperamos más,neutral
está bien así,positive
Esta bien,neutral
está bonito midudev <3 🤗,positive
esta cancion mola,positive
esta debutiii,positive
Está desactualizado,negative
está fea,negative
esta god,positive
está horrible,negative
está malardo,negative
Está muy bien hecho,positive
Está muy bien optimizado,positive
Está muy bien organizado,positive
Está muy limitado,negative
Está muy mal diseñado,negative
está normal,neutral
está piola,positive
estaba en concurso de divs,negative
Estaría bueno un framework que utilice alpinejs,unknown
estas usando tailwind?,neutral
Exacto.,neutral
excelente trabajo,positive
excelente web!,unknown
excelente,positive
F por el pana,negative
f por hamburguesa,negative
f,negative
F1 -> simple browser -> http://localhost:3000,unknown
falta de claridad,negative
falta de profesionalismo,negative
falta detalle,negative
fastidioso,negative
feardo,negative
feísimo,negative
feisimoooo,negative
feo,negative
feral de salvaje,unknown
flex-col,unknown
flojo,negative
focus,neutral
FrankerFaceZ,unknown
fuerte,neutral
Ganar*,positive
genial,positive
gente me voy a dormir que ya es tardecillo haha,unknown
gente recomienden extensiones para el vsc,unknown
GENTEEE HAGAN LA ENCUESTA!!!,unknown
gg,positive
god,positive
grande jesucristo,positive
grandes mejoras,positive
grandioso,positive
graxx,unknown
Guapardo,positive
Guay,positive
h-20 no existe o si?,unknown
ha sido ponernos a programar y se han pasado las horas volando,unknown
habían dicho que todos los del año pasado iban a estar,unknown
hablando de por mes 20k puntos por mes y en ambos soy sub xd,unknown
Hace 10m,unknown
hace 5h Kappa,unknown
hace una hora xD,unknown
Has puesto maw,unknown
hay link al repo del kamidu?,unknown
hay mucha gente (incluyéndome) a la que no le gusta nada la autoreproducción de audio,neutral
hay que ver más,neutral
hazlo resosive y ya,neutral
hehehehehe,unknown
helooo,neutral
hermoso diseño,positive
hermoso,positive
heweeee stream durmiendo,unknown
HOLA midu,unknown
Hola volví de cenar y sigo con hambre pero al menos estoy viendo código hahaha,unknown
HOLA WuelnerDotEXE,unknown
hola,unknown
hola!,unknown
Hola!!,unknown
holaa midu <3,unknown
holaaa,unknown
HOLAAA,unknown
holiiii ^^,unknown
hombre pero la peña normal no vera el codigo ellos se quedan con el lado de vista xD,negative
horrible,negative
how,neutral
https://,unknown
https://twitter.com/,unknown
https://www.twitch.tv/subs/midudev,unknown
huele,negative
I love it,positive
imagino que pregunta algo tipo netlify o vercel,unknown
impresionante resultado,positive
incomprensible,negative
increíble potencial,positive
increíble,positive
insípido,negative
intenta con px al mxw,unknown
Interesante,positive
jaajajajajjaa,unknown
jaja dou!,positive
jajaaja xD,unknown
Jajaajaajjajajaaja noooooo miduuuu,negative
jajaja dx,unknown
jajaja ya ni ganas de programar tiene,negative
Jajajahja,unknown
jajajaj nt,neutral
jajajaja joderrrrr un Viernes,unknown
jajajajaaj,unknown
jajajajaj,unknown
jajajajaja,unknown
jajajajajajajaaja,unknown
JAJAJAJAJAJJA,unknown
jajajajja xd,unknown
JAJAJhAJAJ,unknown
JAJAJJA,unknown
jajajjaaja,unknown
jajjaja,unknown
jajjjajaa,unknown
jeje suele pasar,unknown
jesucristo,positive
jojojo,neutral
jolin,neutral
justify-content: center; y align-items: center; no funciona?,unknown
kaffor esta en mayusculas,unknown
Kappa,neutral
KappaPride,unknown
KEKHeim,unknown
kkkkk,unknown
la de midu es One Dark Pro Darker,unknown
la entrada bonita,positive
la página se ve bien jajajaj,positive
la primera vez q estan canjeando eso JAJAJ,unknown
La realidad es que se debe hacer con esto: https://beta.nextjs.org/docs/optimizing/fonts,unknown
la risa,neutral
la sala de espera feita,negative
las imagenes con textos no son buenas.,negative
las letras deberian de ser mas grandes no?,negative
lesgoo!,positive
letter-spacing no? al  texto,negative
lindo,positive
llevamos ya programando una hora,unknown
lo dificil es hacer un SaaS con eso,neutral
lo estas haciendo directo de js?,unknown
lo importante es el exterior,neutral
lo que puedes hacer es darle u tamaño especifico al p y hay si puedes jugar con los porcentajes,unknown
Lo rápido que se haría esto sin tailwind que dolor trabajar así,negative
Lol,unknown
los degradados destacan con fondos lisos el fondo ya tiene mucha relevancia,neutral
los enfermitos picando codigo a las 3 de la mañana vamooooooooos,unknown
los seniors son los que peores cosas he visto hacer con css xDDD,negative
los textos estan demasiado separados no?,negative
LUL LULl,unknown
LUL lulw,unknown
LULE,unknown
LULW,unknown
magnífico,positive
mal bien,positive
mal logrado,negative
mal,negative
mala idea,negative
malardo,negative
malísimo trabajo,negative
malísimo XDDDD,negative
malisimooooo,negative
mallllllllllll,negative
manzdeGoose,unknown
mas bien,positive
mas power al rosita,neutral
max-w esta tomando el width,unknown
max-w-2xl por ej,neutral
Me encanta el diseño,positive
me encanta la playlist,positive
me encanta,positive
me gusta como se ve pero esta tapando el bienvenido unu,positive
me gusta!,positive
Me he ido dos horas y sigues aquí estás a tope hoy,positive
me llamaron?,unknown
me recuerda a los templates de php...,neutral
mediocre,negative
mejor se podría haber hecho,negative
mejorable,negative
messirve la playlist jsjs,positive
mi localhost se ve muy diferente,neutral
midu en los Squids WTF,unknown
Midu había que darle consejo no matarlo,negative
midu mañana es Febrero xd,unknown
Midu que bootcamps con los mejores para tí?,unknown
midu querido con que estas programando?,unknown
Midu recomiendas usar un dominio personal para un portafolio o usar el de github o vercel etc..,unknown
Midu seguiremos revisando portfolios?,unknown
midu sos un fenomeno,unknown
midu venció el reloj para el proximo reto del adventjs Kappa,unknown
midu,unknown
midudiFeliz,positive
midudiHype midudiHype !!!,unknown
midudiHype,unknown
midudiPlease midudiPlease midudiPlease,unknown
midudiThinking,unknown
Midugod,positive
min-h-screen,unknown
mobile first,unknown
molesto,negative
mucho profesionalismo,positive
muy buena,positive
muy creativo,positive
muy implicito,negative
ndheaaaaaa,unknown
necesita más dedicación no?,negative
necesita más trabajo,negative
necesita mejorar,neutral
neutral,neutral
ni unaaa sola palabraaaaa,positive
No entra,negative
no es lo que esperaba,negative
No es muy estético,negative
No es muy intuitivo,negative
No es muy práctico,negative
No es muy seguro,negative
no es suficiente,negative
no es,neutral
no está a la altura,negative
no está bien diseñado,negative
no está mal,neutral
no estoy de acuerdo,negative
no funciona correctamente,negative
No hagas eso,unknown
no lo sabia,unknown
no no llevamos casi hora y 45,unknown
no pinta bien,negative
no recuerdo donde lo leí pero cosas de accesibilidad,unknown
no sabia que vscode podia hacer eso increible xd,neutral
no tiene sentido,negative
no,unknown
noo hora y media csai,unknown
NOOOO!,unknown
normalito,neutral
NotLikeThis,negative
ntnttn,unknown
o algo asi,neutral
odioso,negative
ojitooooo,positive
OjO Level Up!,positive
ojo,positive
ojoo,positive
ok,neutral
oka,neutral
okay,neutral
okey,neutral
oleeeeeeeee,positive
ooiweqioewiowqie,unknown
oportunidad perdida,negative
ostias!!,positive
ostras @midudev jajajaja,neutral
ostras que no me di cuenta lo de !jesucristo,neutral
Otto? Otto?,unknown
pa cuando la midufest,unknown
para el problema del título solo cambia el height,negative
para las preguntas va a usar mongodb,neutral
para twitch (mejor dicho9,unknown
parece justo,neutral
parkur!!!! StinkyGlitch,unknown
pedo,unknown
pensé que me estaba fallando la vista,negative
perdido,negative
perfecto,positive
pero el Bienvenido/a no deberia tener stroke segun el figma no?,unknown
pero es lo mejor que pasa,positive
pero esa font tiene algun pading vertical o algo asi?,neutral
Pero no abre la consola :(,unknown
Pero no puedes inspeccionar para ver que css te esta metiendo?,unknown
pero no queda mal eee esta de lujo,positive
pero por qué con f PoroSad JAJAJAJAJA,negative
pero que bien se ve,positive
pero te quedo bonitooo,positive
pobre feral,unknown
pobre,negative
poderoso,positive
Podés utilizar media queries para controlar el tamaño del texto segun la pantalla o usar la propiedad clamp,unknown
podría ser mejorado,negative
Pog,positive
pon vw,unknown
ponle el leading q lo quitaste no?,neutral
por el px-16,unknown
por si alguno se le olvida,unknown
porque sigue bajando?,neutral
pr-[6px],unknown
PridePenguin,unknown
profe yo no me enterado puedes repertir desdel principio?,unknown
puaj,negative
puajj,negative
puedes añadir los colores en el extend,unknown
pues venga otras 10 horas xD,unknown
pusiste maw,unknown
qlero,negative
Que andabas viendo cuando midudev andaba bailando?,unknown
que bonitoooooooo,positive
que bueno,positive
que celosa,unknown
qué cruél jajaja,negative
que es un breakpoint?,unknown
que fachero,positive
Que guapo el Tailwind y yo en clase con css a pelo,unknown
Que hacen?,unknown
Que interesante suena!!,positive
que lindo hacer eso,positive
que movida?,unknown
Que no ibamos por mayo? xD,unknown
que onda @midudev todo tranqui? che hace poco empeze a jugar lol y estoy usando a morde que me recomendas?,unknown
que opinas de nextjs,unknown
que suerte jajaja,neutral
Que tal el responsive?,neutral
que temas utiliza?,unknown
Que video subió a ig te ves guapísimo midu tqm xd,unknown
que,neutral
queda de locos,positive
Quedó genial !!! midudiHype midudiHype,positive
queee,neutral
queeee,neutral
quien mas necesita un comando? 👀,unknown
quiero dormir JAJAJAJJ,unknown
recomendado,positive
regular xd,neutral
regular,neutral
resumen nose como lo hice pero funciona jajajajaj,neutral
robusto,positive
saludos y que hace midu,unknown
se entiende claro,positive
se ha hecho algo del back o de momento solo lo q se ve del front?,unknown
se le acumulan los shoutouts?,unknown
se puede abrir el browser en el vscode? wtf xD,unknown
Se ve bonito la verdad CoolCat,positive
Se ve clean,positive
se ve con mucho brillo,negative
se ve épica,positive
se ve lindo,positive
se ve mejor,positive
se ve muy grande,negative
se ve nítido,positive
seco,negative
semejante,neutral
separarlo o quitarlo,negative
Seria genial que se puedan cambiar las condiciones,neutral
sho,unknown
Si arreglamos el input me encantará Kappa,negative
si haces un display flex hay alguna forma de hacer que no lo ponga en fila? o sea que lo que tenga dentro lo siga poniendo en plan uno sobre otro xd,unknown
si la primera estuve jajajaj,unknown
si la propiedad existe se usa,neutral
Si quieres aca hay una app donde puedes ver todos los tamaños al mismo tiempo: https://responsively.app/,unknown
si si ya la sigo!,positive
si soy estoy trabajando y en enero entro a la uni jajaja,unknown
si tienes un padding no funcionará,neutral
si,unknown
siii,unknown
simpático,positive
sin comentarios,neutral
sin sentido,negative
sisi,unknown
sm:hidden,unknown
sobra detalle,negative
sobra un parentesis,negative
solo quen 6h,unknown
somos 2 hombres con un mismo,unknown
spam,unknown
streamelements,unknown
tailwindista desde la beta,positive
tailwindista,positive
tal vez es el fondo no el color de la letra,neutral
tal vez necesita más tiempo,neutral
tb por que estoy todos los dias haha,unknown
tenés el plugin de prettier tailwindcss que te ordena las clases?,unknown
tenes q usar rust,unknown
terrible,negative
tiene mucho sentido,neutral
tiene nivel,positive
tiene pinta de estar bien hecho,positive
Tienes que actualizar,neutral
todo el mundo hace eso quien diga que no miente,neutral
todos los textos reservados,neutral
Too much dark,negative
totalmente de acuerdo,neutral
trabajador,positive
triste,negative
ttv,unknown
ufff,positive
Un crack por lo visto en su página!,positive
un justify-around Kappa,unknown
Un margin a ese menú que me da TOC,negative
un max with?,neutral
un pelin mas de py?,neutral
un poco raro,negative
una excelente idea,positive
una extension,unknown
una extensioón?,unknown
usa mongodb que es un objeto de js,unknown
Utiliza la extensión Tailwind Intellisense!,neutral
uuuuhh,neutral
Uy! Eso está quedando bien (volví de cenar),positive
Vale <3,positive
Vale vale,positive
vamoos,positive
vamos hacerlo,unknown
variable,unknown
vas a estar en la velada del año 3?,positive
Vas a sobreescribir el default theme,unknown
what,neutral
whats,neutral
wtf 5 horas de stream jajajj,unknown
WutFace,negative
wwaooooo,positive
xd,unknown
xD,unknown
xdD,unknown
xDd,unknown
xDD,unknown
XDDD,unknown
xDDDd,unknown
xDDDD,unknown
xDDDDDD,unknown
Y con 0?,neutral
Y con porcentaje funciona?,neutral
Y haz un split del navegador a la derecha para ponerlo en ambos lados :),unknown
Y si en vez de pixeles usas porcentaje?,neutral
Y si les das un max-width al container (div),neutral
Ya hay un bot que saluda :0,unknown
ya le hicimos como 5,unknown
ya salió?,neutral
ya se le olvido codear :(,negative
ya solo quedan 6h,unknown
ya veras mañana cuando no se acuerde nadie xD,neutral
ya veras mañana,neutral
yo con tailwindcss,unknown
Yo no te he visto programar ):,unknown
yo opino que se ve bien mal,negative
yo opino que se ve bien,positive
yo opino que se ve extremadamente lindo,positive
yo opino que se ve mal,negative
yo pedia una hamburguesa y seguia con laravel,unknown
yo quitaría el degradado da la sensación de metalizado,negative
Yo recortaría la descripción...,negative
yo tambien habria puesto un padding y chinpum xd,neutral
Yo tengo la por defecto Kappa jaja,unknown
yo yo yo,unknown
